0.7	0.21	0.67	0.42	0.34	0.83	0.69
0.07	0.75	0.86	0.37	0.59	0.57	0.74
0.13	0.03	0.35	0.85	0.08	0.65	0.34
0.6	0.34	0.2	0.52	0.19	0.15	0.62
0.97	0.12	0.17	0.5	0.54	0.5	0.38
0.18	0.79	0.75	0.01	0.87	0.77	0.03
0.29	0.65	0.5	0.23	0.52	0.29	0.15
0.81	0.7	0.1	0.82	0.62	0.41	0.58
0.23	0.64	0.48	0.79	0.46	0.25	0.82
0.9	0.13	0.12	0.74	1.0	0.86	0.28
0.41	0.57	0.97	0.8	0.13	0.93	0.96
0.55	0.54	0.81	0.84	0.26	0.12	0.22
0.86	0.78	0.09	0.38	0.85	0.92	0.05
0.95	0.23	0.51	0.86	0.06	0.27	0.71
0.87	0.07	0.33	0.57	0.23	0.03	0.42
0.26	0.32	0.53	0.58	0.64	0.17	0.51
0.89	0.56	0.06	0.93	0.75	0.42	0.63
0.54	0.43	0.07	0.89	0.16	0.74	0.3
0.79	0.74	0.6	0.68	0.53	0.16	0.23
0.48	0.3	0.08	0.16	0.74	0.28	0.84
0.21	0.84	0.49	0.31	0.18	0.97	0.46
0.58	0.22	0.72	0.7	0.11	0.21	0.19
0.83	0.73	0.59	0.14	0.24	0.68	0.67
0.61	0.48	0.55	0.71	0.99	0.34	0.56
0.59	0.6	0.15	0.44	0.44	0.24	0.02
0.37	0.95	0.22	0.83	0.3	0.47	0.98
0.52	0.46	0.01	0.41	0.04	0.26	0.35
0.68	0.25	0.23	0.65	0.09	0.43	0.91
0.01	0.01	0.45	1.0	0.39	0.69	0.89
0.69	0.5	0.05	0.25	0.86	0.31	0.8
0.11	0.76	0.14	0.18	0.92	0.81	0.36
0.15	0.02	0.11	0.47	0.14	0.98	0.87
0.85	0.38	0.29	0.19	0.01	0.6	0.94
0.04	0.98	0.31	0.97	0.82	0.23	0.07
0.8	0.72	0.24	0.02	0.33	0.1	0.81
0.17	0.88	0.43	0.81	0.02	0.76	0.43
0.65	0.99	0.42	0.67	0.03	0.38	0.72
0.22	0.42	0.41	0.22	0.69	0.54	0.61
0.62	0.69	0.04	0.96	0.84	0.62	0.75
0.82	0.71	0.96	0.64	0.77	0.64	0.14
0.72	0.62	0.56	0.87	0.32	0.7	0.6
0.47	0.77	0.61	0.99	0.47	0.87	0.92
0.53	0.27	0.69	0.6	0.49	0.9	0.45
0.39	0.14	0.63	0.92	0.38	0.59	0.73
0.16	0.37	0.78	0.43	0.36	0.3	0.32
0.19	0.94	0.34	0.27	0.91	0.06	0.09
0.78	0.33	0.03	0.09	0.48	0.18	0.44
0.93	0.39	0.19	0.76	0.43	0.37	0.68
0.02	0.68	0.3	0.12	0.41	0.63	0.53
0.3	0.86	0.91	0.94	0.17	0.19	0.47
0.42	0.15	0.46	0.78	0.6	0.2	0.2
0.5	0.52	0.82	0.63	0.68	1.0	0.48
0.4	0.97	0.44	0.62	0.22	0.11	0.41
0.25	0.04	0.26	0.29	0.93	0.05	0.33
0.88	0.96	0.84	0.26	0.55	0.22	0.04
0.77	0.93	0.36	0.34	0.31	0.75	0.7
0.96	1.0	0.89	0.56	0.2	0.67	0.25
0.63	0.82	0.28	0.08	0.78	0.09	0.85
0.05	0.09	0.25	0.72	0.29	0.73	0.79
0.57	0.9	0.9	0.1	0.37	0.91	0.12
0.76	0.63	0.16	0.36	0.94	0.4	0.08
0.03	0.58	0.02	0.61	0.67	0.32	0.77
0.14	0.44	0.38	0.21	0.9	0.13	0.29
0.56	0.05	0.99	0.48	0.88	0.49	0.06
0.98	0.45	0.83	0.98	0.65	0.07	0.9
0.92	0.8	1.0	0.69	0.61	0.61	0.13
0.24	0.41	0.18	0.3	0.79	0.53	0.31
0.43	0.59	0.65	0.46	0.35	0.33	0.01
0.66	0.26	0.98	0.07	0.15	0.14	0.52
0.51	0.67	0.79	0.17	0.4	0.88	0.97
0.1	0.11	0.37	0.33	0.07	0.78	0.54
0.45	0.91	0.54	0.39	0.97	0.99	0.1
0.64	0.81	0.32	0.49	0.71	0.56	1.0
0.08	0.19	0.73	0.59	0.57	0.82	0.76
0.71	0.35	0.93	0.91	0.83	0.46	0.11
0.27	0.16	0.52	0.15	0.72	0.08	0.86
0.31	0.55	0.47	0.88	0.95	0.79	0.39
1.0	0.17	0.64	0.05	0.7	0.89	0.4
0.94	0.31	0.87	0.06	0.25	0.66	0.5
0.74	0.47	0.74	0.13	0.66	0.01	0.59
0.32	0.89	0.71	0.75	0.96	0.95	0.95
0.67	0.24	0.39	0.03	0.58	0.8	0.21
0.34	0.83	0.8	0.24	0.89	0.71	0.49
0.84	0.51	0.94	0.66	0.76	0.44	0.57
0.06	0.85	0.66	0.54	0.73	0.36	0.88
0.73	0.08	0.27	0.53	0.56	0.02	0.66
0.99	0.4	0.88	0.95	0.42	0.04	0.93
0.33	0.87	0.62	0.51	0.21	0.39	0.27
0.2	0.53	0.77	0.28	0.8	0.45	0.78
0.12	0.06	0.57	0.73	0.81	0.72	0.24
0.28	0.61	0.4	0.32	0.63	0.35	0.64
0.35	0.36	0.85	0.04	0.12	0.51	0.65
0.75	0.92	0.13	0.9	0.28	0.96	0.83
0.91	0.28	0.76	0.45	0.51	0.94	0.99
0.44	0.66	0.68	0.4	0.45	0.48	0.26
0.49	0.29	0.7	0.55	0.98	0.84	0.37
0.09	0.18	0.92	0.2	0.5	0.52	0.18
0.36	0.2	0.58	0.77	0.1	0.58	0.16
0.38	0.1	0.95	0.35	0.27	0.55	0.55
0.46	0.49	0.21	0.11	0.05	0.85	0.17
