0.776	0.494	0.734	0.314	0.166	0.478	0.416	0.398	0.584	0.868	0.356	0.49
0.598	0.346	0.842	0.39	0.926	0.5	0.512	0.05	0.468	0.974	0.66	0.306
0.19	0.824	0.718	0.718	0.406	0.986	0.564	0.948	0.582	0.482	0.284	0.652
0.566	0.198	0.924	0.146	0.236	0.774	0.708	0.59	0.438	0.01	0.204	0.292
0.142	0.768	0.02	0.632	0.892	0.354	0.224	0.07	0.106	0.112	0.476	0.136
0.666	0.676	0.336	0.438	0.394	0.342	0.558	0.126	0.528	0.564	0.28	0.294
0.218	0.116	0.724	0.194	0.756	0.036	0.832	0.164	0.952	0.188	0.57	0.924
0.958	0.224	0.828	0.362	0.736	0.422	0.744	0.338	0.48	0.81	0.414	0.986
0.18	0.25	0.3	0.458	0.128	0.772	0.912	0.936	0.968	0.902	0.908	0.95
0.344	0.466	0.434	0.942	0.132	0.258	0.086	0.212	0.012	0.246	0.844	0.33
0.852	0.86	0.426	0.786	0.75	0.318	0.538	0.446	0.148	0.488	0.358	0.684
0.232	0.294	0.682	0.286	0.538	0.114	0.518	0.672	0.526	0.042	0.326	0.79
0.518	0.482	0.786	0.576	0.294	0.546	0.248	0.602	0.088	0.32	0.176	0.068
0.502	0.172	0.03	0.962	0.476	0.07	0.432	0.984	0.072	0.172	0.364	0.7
0.168	0.6	0.226	0.888	0.956	0.384	0.768	0.916	0.966	0.268	0.398	0.276
0.356	0.112	0.83	0.5	0.034	0.49	0.044	0.676	0.36	0.282	0.802	0.314
0.37	0.462	0.46	0.024	0.158	0.852	0.414	0.512	0.476	0.82	0.03	0.414
0.224	0.114	0.482	0.916	0.772	0.198	0.36	0.988	0.728	0.04	0.816	0.826
0.616	0.792	0.25	0.556	0.824	1.0	0.63	0.246	0.38	0.446	0.412	0.044
0.09	0.874	0.248	0.106	0.776	0.7	0.984	0.716	0.816	0.056	0.316	0.194
0.152	0.772	0.612	0.446	0.036	0.42	0.988	0.054	0.354	0.49	0.48	0.286
0.868	0.076	0.666	0.82	0.564	0.486	0.492	0.846	0.028	0.918	0.212	0.88
0.728	0.334	0.688	0.38	0.238	0.872	0.736	0.148	0.898	0.05	0.536	0.25
